gds_sclsf_nm,month,grade,vwap_grade,vwap_all,ratio,n
후지,3,상,2153.709575142676,2621.9870085618013,0.821403602729526,402
후지,3,특,3000.1048486629443,2621.9870085618013,1.1442104170869047,839
후지,4,4등,3722.090909090909,2522.3223204087194,1.4756602988343608,54
후지,4,5등,3315.581699346405,2522.3223204087194,1.314495642574794,55
후지,4,6등,3442.631027253669,2522.3223204087194,1.3648656237937988,95
후지,4,7등,2731.5328907664452,2522.3223204087194,1.082943630425403,97
후지,4,8등,2276.6666666666665,2522.3223204087194,0.9026073504744443,115
후지,4,등외,1993.70607028754,2522.3223204087194,0.7904247820177391,178
후지,4,무등급,1966.8472468916518,2522.3223204087194,0.7797763319054887,156
후지,4,보통,1165.863965267728,2522.3223204087194,0.4622184705873793,225
후지,4,상,2120.7350877192985,2522.3223204087194,0.8407867109448774,424
후지,4,특,3103.9578149069794,2522.3223204087194,1.2305952295597222,1091
후지,5,4등,3579.733924611973,2711.21450382883,1.3203433072361495,61
후지,5,6등,2956.092560046866,2711.21450382883,1.0903204286758625,103
후지,5,7등,2119.274873524452,2711.21450382883,0.7816699381519133,95
후지,5,8등,1657.0289855072465,2711.21450382883,0.6111759077591087,91
후지,5,등외,2950.480769230769,2711.21450382883,1.088250584770789,161
후지,5,무등급,1713.510152284264,2711.21450382883,0.6320083305339402,171
후지,5,보통,872.8418803418804,2711.21450382883,0.3219375962725325,180
후지,5,상,1913.2718052738337,2711.21450382883,0.7056880975562332,411
후지,5,특,3817.700703890421,2711.21450382883,1.4081145916337456,882
후지,6,4등,3527.8842676311033,3113.1839417701835,1.1332077813638977,42
후지,6,6등,2964.400417101147,3113.1839417701835,0.9522085660687184,55
후지,6,7등,2230.2266666666665,3113.1839417701835,0.7163812702305473,56
후지,6,8등,1991.723404255319,3113.1839417701835,0.6397705505068254,59
후지,6,등외,2550.909090909091,3113.1839417701835,0.8193891329975902,62
후지,6,무등급,1524.7692307692307,3113.1839417701835,0.4897780726384685,127
후지,6,보통,718.5036119711042,3113.1839417701835,0.23079381925712902,96
후지,6,상,2095.2536640360768,3113.1839417701835,0.6730259770146114,272
후지,6,특,4745.967277667757,3113.1839417701835,1.5244737755422055,584
후지,7,6등,874.1442953020135,2356.2430323299886,0.37099071840548187,30
후지,7,무등급,746.2003454231434,2356.2430323299886,0.316690738257699,65
후지,7,상,1787.578222778473,2356.2430323299886,0.7586561310743963,161
후지,7,특,4355.873362445415,2356.2430323299886,1.8486519865219833,267
후지,8,상,1100.4306220095693,1436.53091447612,0.7660333731215795,31
후지,10,4등,5173.005780346821,5178.561605891746,0.998927148894279,39
후지,10,6등,5038.851540616247,5178.561605891746,0.9730214534637286,32
후지,10,8등,3270.2542372881358,5178.561605891746,0.631498567781352,33
후지,10,등외,3891.5757575757575,5178.561605891746,0.7514781234133122,69
후지,10,보통,3141.261061946903,5178.561605891746,0.6065894935715415,41
후지,10,상,3423.4475014037057,5178.561605891746,0.6610807714460297,170
후지,10,특,6103.820899105696,5178.561605891746,1.1786710989710474,375
후지,11,5등,4290.268817204301,3654.33998829158,1.174020159851087,37
후지,11,등외,2926.3081395348836,3654.33998829158,0.8007761042789413,143
후지,11,상,1964.5377461706782,3654.33998829158,0.5375903042587749,311
후지,11,특,4031.805739763524,3654.33998829158,1.1032924557324537,1154
